1,20140816,1730,"Arsenal",1,1,90,,0,0,"Crystal Palace",1,1,90,,0,0
1,20140816,1730,"Arsenal",3,1,53,,0,0,"Crystal Palace",34,1,90,,1,0
1,20140816,1730,"Arsenal",6,1,90,45,0,0,"Crystal Palace",6,1,75,,0,0
1,20140816,1730,"Arsenal",21,1,90,,1,0,"Crystal Palace",4,1,90,35,0,0
1,20140816,1730,"Arsenal",2,1,90,,0,0,"Crystal Palace",2,1,90,,0,0
1,20140816,1730,"Arsenal",16,1,90,90,0,0,"Crystal Palace",28,1,90,,0,0
1,20140816,1730,"Arsenal",10,1,69,,0,0,"Crystal Palace",42,1,89,,2,1
1,20140816,1730,"Arsenal",8,1,90,,0,0,"Crystal Palace",7,1,91,,0,0
1,20140816,1730,"Arsenal",19,1,90,,1,0,"Crystal Palace",15,1,90,,0,0
1,20140816,1730,"Arsenal",17,1,90,,0,0,"Crystal Palace",10,1,85,,0,0
1,20140816,1730,"Arsenal",22,1,62,,0,0,"Crystal Palace",29,1,90,,1,0
1,20140816,1730,"Arsenal",7,0,0,,0,0,"Crystal Palace",5,0,0,,0,0
1,20140816,1730,"Arsenal",12,62,90,,0,0,"Crystal Palace",12,91,90,,0,0
1,20140816,1730,"Arsenal",15,69,90,,0,0,"Crystal Palace",13,0,0,,0,0
1,20140816,1730,"Arsenal",18,53,90,,0,0,"Crystal Palace",16,85,90,,0,0
1,20140816,1730,"Arsenal",26,0,0,,0,0,"Crystal Palace",17,0,0,,0,0
1,20140816,1730,"Arsenal",28,0,0,,0,0,"Crystal Palace",25,0,0,,0,0
1,20140816,1730,"Arsenal",34,0,0,,0,0,"Crystal Palace",27,75,90,,0,0
1,20140816,1500,"West Ham United",13,1,90,,0,0,"Tottenham Hotspur",1,1,90,,0,0
1,20140816,1500,"West Ham United",17,1,62,,0,0,"Tottenham Hotspur",16,1,29,,0,1
1,20140816,1500,"West Ham United",3,1,90,,0,0,"Tottenham Hotspur",3,1,90,,0,0
1,20140816,1500,"West Ham United",8,1,90,,1,0,"Tottenham Hotspur",29,1,90,,0,0
1,20140816,1500,"West Ham United",19,1,63,,2,1,"Tottenham Hotspur",4,1,90,,0,0
1,20140816,1500,"West Ham United",2,1,90,,0,0,"Tottenham Hotspur",15,1,90,90,0,0
1,20140816,1500,"West Ham United",11,1,90,,0,0,"Tottenham Hotspur",23,1,90,,0,0
1,20140816,1500,"West Ham United",16,1,90,,0,0,"Tottenham Hotspur",42,1,90,,0,0
1,20140816,1500,"West Ham United",24,1,81,,0,0,"Tottenham Hotspur",10,1,83,,0,0
1,20140816,1500,"West Ham United",4,1,90,,0,0,"Tottenham Hotspur",11,1,61,,0,0
1,20140816,1500,"West Ham United",12,1,68,,0,0,"Tottenham Hotspur",7,1,61,,0,0
