Leicester City,1,Schmeichel,Kaspar
Leicester City,12,Hamer,Ben
Leicester City,25,Logan,Conrad
Leicester City,31,Smith,Adam
Leicester City,2,De Laet,Ritchie
Leicester City,3,Konchesky,Paul
Leicester City,5,Morgan,Wes
Leicester City,6,Upson,Matthew
Leicester City,15,Schlupp,Jeffrey
Leicester City,18,Moore,Liam
Leicester City,27,Wasilewski,Marcin
Leicester City,4,Drinkwater,Danny
Leicester City,7,Hammond,Dean
Leicester City,8,James,Matty
Leicester City,10,King,Andy
Leicester City,11,Albrighton,Marc
Leicester City,24,Knockaert,Anthony
Leicester City,26,Mahrez,Riyad
Leicester City,9,Vardy,Jamie
Leicester City,20,Hopper,Tom
Leicester City,22,Taylor-Fletcher,Gary
Leicester City,23,Ulloa,Leonardo
Leicester City,35,Nugent,David
Leicester City,39,Wood,Chris
