Hull City,1,McGregor,Allan
Hull City,2,Rosenior,Liam
Hull City,3,Figueroa,Maynor
Hull City,4,Bruce,Alex
Hull City,5,Chester,James
Hull City,6,Davies,Curtis
Hull City,7,Meyler,David
Hull City,8,Huddlestone,Tom
Hull City,10,Snodgrass,Robert
Hull City,11,Brady,Robbie
Hull City,12,Maguire,Harry
Hull City,14,Livermore,Jake
Hull City,15,McShane,Paul
Hull City,16,Jakupovic,Eldin
Hull City,17,Boyd,George
Hull City,18,Jelavic,Nikica
Hull City,20,Sagbo,Yannick
Hull City,22,Harper,Steve
Hull City,23,Ince,Tom
Hull City,24,Aluko,Sone
Hull City,26,Robertson,Andrew
Hull City,27,Elmohamady,Ahmed
Hull City,29,Quinn,Stephen
Hull City,32,Jahraldo-Martin,Calaum
