Queens Park Rangers,1,Green,Robert
Queens Park Rangers,21,Murphy,Brian
Queens Park Rangers,33,Cesar,Julio
Queens Park Rangers,2,Simpson,Danny
Queens Park Rangers,3,Traore,Armand
Queens Park Rangers,4,Caulker,Steven
Queens Park Rangers,5,Ferdinand,Rio
Queens Park Rangers,6,Hill,Clint
Queens Park Rangers,13,Suk-young,Yun
Queens Park Rangers,15,Onuoha,Nedum
Queens Park Rangers,22,Dunne,Richard
Queens Park Rangers,7,Phillips,Matt
Queens Park Rangers,8,Barton,Joey
Queens Park Rangers,11,Wright-Phillips,Shaun
Queens Park Rangers,14,Isla,Mauricio
Queens Park Rangers,17,Mutch,Jordon
Queens Park Rangers,18,Faurlin,Alejandro
Queens Park Rangers,20,Henry,Karl
Queens Park Rangers,23,Hoilett,Junior
Queens Park Rangers,27,Taarabt,Adel
Queens Park Rangers,9,Austin,Charlie
Queens Park Rangers,19,Remy,Loic
Queens Park Rangers,25,Zamora,Bobby
